"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ26	RIADJJ27	RIADJJ28	RIADKW17	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
5069					CONF							0	0	0	0	false		0	0												0	0	0	0																							
5135					CONF							0	0	0	0	false		0	0												0	0	0	0																							
5210					CONF							0	0	0	0	false		0	0												0	0	0	0																							
5461					CONF							0	0	0	0	false		0	0												0	0	0	0																							
5751					CONF							0	0	0	0	false		0	0												0	0	0	0																							
6039	0	0	0	0	CONF	0	0	0	108	130	0	0	0	0	0	false	0	0	0	0	0	0	0	410	0	335	0	0	0	174	0	0	0	0					0	0	0				SOFTWARE LICENSES AND FEES	MISC EXPENSE											
6329	1088	1	35	287	CONF				201	1201	161	0	0	0	0	false	485	0	0		151	20	191		734	2646	178	480	98	445	0	0	0	0					48	83	103				Education & Training	Service Fee Analysis	Donations	Transfer from Holding Company									
7009					CONF							0	0	0	0	false		0	0												0	0	0	0																							
7045	25	0	53	0	CONF	0	0	0	0	0	0	0	0	0	0	false	13	0	0	3	0	9	33	0	21	292	30	0	148	26	0	0	0	0					0	0	0																
7072					CONF							0	0	0	0	false		0	0												0	0	0	0																							
7456					CONF							0	0	0	0	false		0	0												0	0	0	0																							
7634					CONF							0	0	0	0	false		0	0												0	0	0	0																							
8033					CONF							0	0	0	0	false		0	0												0	0	0	0																							
8462					CONF							0	0	0	0	false		0	0												0	0	0	0																							
8631					CONF							0	0	0	0	false		0	0												0	0	0	0																							
9357					CONF							0	0	0	0	false		0	0												0	0	0	0																							
9553					CONF							0	0	0	0	false		0	0												0	0	0	0																							
9807					CONF	800	716	677	980			0	0	0	0	false		0	0		-12907										0	0	0	0						2177		LOAN EXIT FEES	PREPAYMENT PENALTY FEES	PROCEEDS FROM VILLAGE AT MANALAPAN	Computer Equipment Supplies												
9955					CONF							0	0	0	0	false		0	0												0	0	0	0																							
10250					CONF							0	0	0	0	false		0	0												0	0	0	0														Downstream from Holding Company									
10849					CONF							0	0	0	0	false		0	0												0	0	0	0																							
11145	51	20	66	6	CONF	34	137		38			0	0	0	0	false	50	0	0	27		9	471	266	58		103	42	180	69	0	0	0	0					16	2	29	Other Misc Income	Other Misc Asset Income		Credit & Collections												
11640					CONF							0	0	0	0	false		0	0												0	0	0	0																							
11837					CONF							0	0	0	0	false		0	0												0	0	0	0																							
12030					CONF							0	0	0	0	false		0	0												0	0	0	0																							
12142					CONF							476	0	0	0	false		0	0												0	0	0	0														CDFI FA Grant									
12311	59584	0	0	0	CONF	59355	51823	37841	0	0	0	0	0	0	0	false	0	0	0	0	32405	0	0	285724	0	183292	0	0	0	0	0	0	0	0		0			0	0	0	~Overhead charges	~Commitments/Letter of credit fees	~Operating and Other Lease Income													
12647					CONF							0	0	0	0	false		0	0												0	0	0	0																							
12656					CONF							0	0	0	0	false		0	0												0	0	0	0																							
12946					CONF							0	0	0	0	false		0	0												0	0	0	0																							
13103					CONF				1033			0	0	0	0	false		0	0					1454		835		1146			0	0	0	0											Other Computer Service Expenses												
13251					CONF							0	0	0	0	false		0	0												0	0	0	0																							
13457					CONF							0	0	0	0	false		0	0												0	0	0	0														purchased stock of bank holding company									
14155					CONF							0	0	0	0	false		0	0												0	0	0	0																							
14650					CONF							0	0	0	0	false		0	0												0	0	0	0																							
14753					CONF							0	0	0	0	false		0	0												0	0	0	0																							
14865					CONF							0	0	0	0	false		0	0												0	0	0	0																							
14977	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
16551					CONF							0	0	0	0	false		0	0												0	0	0	0																							
17110	581	0	0	0	CONF	0	0	0	1785	654	0	0	0	0	0	false	0	0	0	0	0	0	0	1307	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0				REFERRAL FEES	CUSTODIAN COSTS											
17147	0	0	0	0	CONF	2362	0	0	9158	0	0	0	0	0	0	false	0	0	0	0	2434	0	0	4994	0	10353	0	0	0	0	0	0	0	0		13799			0	0	0	OTHER INC - DERIVATIVE HEDGE			Other noninterest expense												
17259					CONF							0	0	0	0	false		0	0												0	0	0	0																							
17950					CONF							0	0	0	0	false		0	0												0	0	0	0														Capital Injection Acquisition of Malta and Glasgow									
17978					CONF							0	0	0	0	false		0	0												0	0	0	0																							
18050					CONF							27000	0	0	0	false		0	0												0	0	0	0														CAPITAL CONTRIBUTION FROM TOP TIER HOLDING COMPANY									
18827					CONF							0	0	0	0	false		0	0												0	0	0	0				-215																			
18836					CONF							0	0	0	0	false		0	0												0	0	0	0																							
18854					CONF	261	81		1152			0	0	0	0	false		0	0					968		362	285				0	0	0	0					135			Secondary Market Income	BSA Monitoring Fee Income		Bonus Accrual												
19356					CONF							0	0	0	0	false		0	0												0	0	0	0																							
19936					CONF							0	0	0	0	false		0	0												0	0	0	0																							
19972					CONF							0	0	0	0	false		0	0												0	0	0	0																							
20053					CONF							0	0	0	0	false		0	0												0	0	0	0																							
20633					CONF							0	0	0	0	false		0	0												0	0	0	0																							
20857					CONF							-4009	220	0	0	false		0	0												0	0	0	0														Capital Retirement from Surplus Account	Reversal of Sub S Tax Distribution								
21256					CONF							0	0	0	0	false		0	0												0	0	0	0																							
21359					CONF							0	0	0	0	false		0	0												0	0	0	0																							
21658					CONF							0	0	0	0	false		0	0					196							0	0	0	0											Maintenance Agreements	Education	Insurance Expense										
22048					CONF							0	0	0	0	false		0	0												0	0	0	0																							
22543					CONF							0	0	0	0	false		0	0												0	0	0	0																							
22552					CONF							0	0	0	0	false		0	0												0	0	0	0																							
22730					CONF							0	0	0	0	false		0	0												0	0	0	0																							
23456					CONF							0	0	0	0	false		0	0												0	0	0	0																							
23504	2805	0	0	0	CONF	1104	0	0	0	0	0	0	0	0	0	false	0	0	0	0	5982	0	0	6747	0	1900	0	2315	0	0	0	0	0	0					0	0	0	TITLE FEE INCOME															
23643					CONF							0	0	0	0	false		0	0												0	0	0	0																							
23755					CONF							0	0	0	0	false		0	0												0	0	0	0																							
24006					CONF							480	0	0	0	false		0	0												0	0	0	0														Unearned ESOP Shares Expense									
24378					CONF							0	0	0	0	false		0	0												0	0	0	0																							
24659					CONF							0	0	0	0	false		0	0												0	0	0	0																							
24668					CONF							0	0	0	0	false		0	0												0	0	0	0																			0				
24949					CONF							0	0	0	0	false		0	0												0	0	0	0																							
25357					CONF							0	0	0	0	false		0	0												0	0	0	0																							
25647					CONF	939						0	0	0	0	false		0	0					335							0	0	0	0								SBA Fees						Holding Company capital infusion									
26457					CONF							0	0	0	0	false		0	0												0	0	0	0																							
26765					CONF							0	5405	0	0	false		0	0												0	0	0	0															Capital Injection								
27070					CONF							0	0	0	0	false		0	0												0	0	0	0																							
27548					CONF							0	0	0	0	false		0	0												0	0	0	0																							
27614					CONF							0	0	0	0	false		0	0												0	0	0	0																							
27847					CONF							0	0	0	0	false		0	0												0	0	0	0				0																			
28013	837				CONF							1223	474	0	0	false		0	0		1687			3016		736	787	904			0	0	0	0		0												capital contribution	change in unallocated ESOP								
28152					CONF							0	0	0	0	false		0	0					101							0	0	0	0																							
28675					CONF							0	0	0	0	false		0	0					228							0	0	0	0											CORRESPONDANT BANK CHARGES	CONTRIBUTIONS							ASU 2016-01				
28732					CONF							0	0	0	0	false		0	0												0	0	0	0																							
29476					CONF							0	0	0	0	false		0	0												0	0	0	0																							
29636					CONF							-38	0	0	0	false		0	0												0	0	0	0														Transfer Other Real Estate to Holding Co									
29878	937		813	174	CONF	23			2641	179		0	0	0	0	false	31	0	0	2		89	98	677	95		518	676		229	0	0	0	0					8	225	331	MISC OPERATING INCOME			OUTSIDE SERVICE FEES EXP	MTG LOAN EXP											
30052					CONF							0	0	0	0	false		0	0												0	0	0	0																							
30502					CONF							0	0	0	0	false		0	0												0	0	0	0																							
30650					CONF							0	0	0	0	false		0	0												0	0	0	0																Push down accounting adjustment due to bank sale / change of control 12/31/21							
30810	430810				CONF	120333			638805	108795		0	0	0	0	false		0	0							324837					0	0	0	0		0						Net Credit Card Fee Income			Servicing Fees Paid To Affiliates	Collection Fees											
31134					CONF		46					0	0	0	0	false		0	0				38	424		296	72			107	0	0	0	0								Promotional Fee	OTHER MISC INCOME		Misc Servicing												
31255	53	0	289	139	CONF	488	0	0	347	785	0	0	0	0	0	false	0	0	0	0	169	0	0	504	75	109	114	112	0	153	0	0	0	0				-35	0	0	0	Other mortgage loan income			Item processing	computer support contracts											
31657					CONF							0	0	0	0	false		0	0												0	0	0	0																							
31826	70		105	6	CONF	241	642		211			0	0	0	0	false	22	0	0						42	459	50		282	47	0	0	0	0								PPP SBA Lender Fees	BOLI Proceeds (Tax Exempt)		Other Taxes (Franchise & Excise, R/E. PP Taxes)												
31835					CONF							4000	0	0	0	false		0	0												0	0	0	0														Emergency Capital Investment Program (CDFI's) 3068									
32234					CONF							0	0	0	0	false		0	0												0	0	0	0																							
32766					CONF							100	0	0	0	false		0	0												0	0	0	0														Stocks transaction									
32971					CONF							0	0	0	0	false		0	0												0	0	0	0																							
33147					CONF							0	0	0	0	false		0	0												0	0	0	0																							
33259					CONF							0	0	0	0	false		0	0												0	0	0	0																							
33268					CONF							0	0	0	0	false		0	0												0	0	0	0																							
33370					CONF							0	0	0	0	false		0	0												0	0	0	0																							
33839					CONF							-5	0	0	0	false		0	0												0	0	0	0														Holding Company Expenses Approved by Board									
33857	140		6		CONF				115			1250	0	0	0	false		0	0				287	604							0	0	0	0											OTHER PROFESSIONAL FEES			CAPITAL INJECTION FROM HOLDING COMPANY									
34434					CONF							10000	0	0	0	false		0	0												0	0	0	0														Amount contributed to the subsidiary institution from parent holding company as a result of ECIP									
34537	2834				CONF	1360		3513			3068	0	0	0	0	false		0	0		2683			12131		8411		4026			0	0	0	0		52						Loan Swap Fees/Gains		Other			Other	Dividends Paid to Holding Company as Return of Capital									
34555	48	2	90	8	CONF	0	0	0	203	0	0	0	0	0	0	false	19	0	0	10	117	20	6	491	50	321	12	73	209	16	0	0	0	0					4	0	21				Bank Owned Life Insurance Expense												
34742					CONF							0	0	0	0	false		0	0												0	0	0	0																							
35057	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	142	360	0	0	0	0	0	0	0	0	0	0					0	0	0																
35301	0	0	0	0	CONF	369000	255000	201000	455000	133000	67000	0	-14000	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	Fee Revenue received from Affiliates	Software service fees	Fees for securities lending transactions	Fees for transaction processing services	Fees for professional services	Other Expense Out Of Pocket		Other Adjustments with stockholders								
35646					CONF							0	0	0	0	false		0	0												0	0	0	0																							
35879					CONF							-16	0	0	0	false		0	0												0	0	0	0														DIVIDEND UP FOR TAXES									
36456					CONF							0	0	0	0	false		0	0												0	0	0	0																							
36933					CONF							0	0	0	0	false		0	0												0	0	0	0																							
37051					CONF							0	0	39	0	false		0	0												0	0	0	0																MARK TO MARKET LOAN ADJUSTMENT AMORTIZATION							
37341					CONF							0	0	0	0	false		0	0												0	0	0	0																			0				
37435					CONF							0	0	0	0	false		0	0												0	0	0	0																							
37640	2165	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	1349	0	0	10144	0	7794	0	0	5645	0	0	0	0	0		3117			0	0	0																
37659	5	0	7	2	CONF	0	0	0	0	0	0	0	0	0	0	false	4	0	0	1	0	0	8	105	7	0	17	28	0	10	0	0	0	0					0	0	0																
37949					CONF							0	0	0	0	false		0	0												0	0	0	0																							
38740					CONF							0	0	0	0	false		0	0												0	0	0	0																							
39327					CONF							0	0	0	0	false		0	0												0	0	0	0																							
39756	427				CONF	531						0	0	0	0	false		0	0					506		412					0	0	0	0				0			527	Other Operating Income -	Lease Rental Income		Other Insurance Expense	General Travel & Expense	Other Insurance Expense										
40033					CONF							0	0	0	0	false		0	0												0	0	0	0																							
40499	2204				CONF					1600		2591	0	0	0	false		0	0		1067			4633		5400		1619			0	0	0	0	-1885	0	-1311									Software licenses and amortization		Capital Contribution from parent holding company									
40855					CONF							0	0	0	0	false		0	0												0	0	0	0																							
41553					CONF							0	0	0	0	false		0	0												0	0	0	0																							
41629					CONF							0	0	0	0	false		0	0												0	0	0	0																							
41825	303				CONF	-119						0	0	0	0	false		0	0			27		1164		442		165	225		0	0	0	0								Gain on Interest Rate Lock Contract															
42037					CONF							0	0	0	0	false		0	0												0	0	0	0																							
42354					CONF							0	0	0	0	false		0	0												0	0	0	0																							
42372					CONF							0	0	0	0	false		0	0												0	0	0	0																							
42420	2446	3		326	CONF	1996	849	721	2332	1719	1918	0	0	0	0	false	1318	0	0	666	2891	218	421	3717	727	13627	142		3834	1513	0	0	0	0						63	621	SWAP FEE INCOME	INTERCOMPANY INCOME	MERCHANT ALLIANCE	OPERATIONAL LOSSES	OTHER PROFESSIONAL FEES	PENNSYLVANIA SHARES TAX										
42448	715	2	225	47	CONF	749	537	0	0	0	0	0	0	0	0	false	139	0	0	52	0	55	107	1984	322	3112	131	0	1495	352	0	0	0	0					33	0	0	LOAN DISCOUNT	LOAN DOC PREP FEES														
42457					CONF							0	0	0	0	false		0	0												0	0	0	0																							
43052					CONF							0	0	0	0	false		0	0												0	0	0	0																							
43351					CONF							0	0	0	0	false		0	0												0	0	0	0																							
43856					CONF							0	0	0	0	false		0	0												0	0	0	0																							
43959					CONF							0	0	0	0	false		0	0												0	0	0	0																							
44040					CONF							0	0	0	0	false		0	0												0	0	0	0																							
44433					CONF				170			0	0	0	0	false		0	0					518			176	203			0	0	0	0					126						PRV FOR OFF B/S RISKS												
44741					CONF							0	0	0	0	false		0	0												0	0	0	0																							
44750					CONF							0	0	0	0	false		0	0												0	0	0	0																							
44929	11		41	4	CONF				71			0	0	0	0	false	8	0	0	2	25	12	69	36	14		32		171	62	0	0	0	0											(Franchise) FIT #4460001												
45038	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	216	0	0	183	0	0	0	0	0	0	0					0	0	0																
45047					CONF							0	0	0	0	false		0	0												0	0	0	0																							
45056					CONF							0	0	0	0	false		0	0												0	0	0	0																							
45430					CONF							0	0	0	0	false		0	0												0	0	0	0																							
45458					CONF							406	5000	0	0	false		0	0												0	0	0	0														Injection from holding company after sale of stock	injection from holding company after sub deb trans								
45551					CONF							0	0	0	0	false		0	0												0	0	0	0																							
45560	1050				CONF	824			1900			0	0	0	0	false		0	0		363			775		168		591			0	0	0	0								Debit card fee income			Computer software												
45775					CONF							0	0	0	0	false		0	0												0	0	0	0																							
46053					CONF							0	0	0	0	false		0	0												0	0	0	0																							
46941					CONF							0	0	0	0	false		0	0												0	0	0	0																							
47247	212		107	95	CONF	10959	-5096		712			0	0	0	0	false	65	0	0	42	238	13	231	1127	66	154	186	488	121	58	0	0	0	0					35	1	45	Derivative Gain (Loss) Hedging Act	Gain (Loss) on Held for Sale		New Loan Expense												
47256					CONF							0	0	0	0	false		0	0												0	0	0	0																							
47452					CONF							0	0	0	0	false		0	0												0	0	0	0																							
47500					CONF							0	0	0	0	false		0	0												0	0	0	0																							
48057					CONF							0	0	0	0	false		0	0												0	0	0	0																							
48150					CONF							0	0	0	0	false		0	0												0	0	0	0																							
48374					CONF							0	0	0	0	false		0	0												0	0	0	0																							
48440					CONF							0	0	0	0	false		0	0												0	0	0	0																							
49054					CONF							0	0	0	0	false		0	0												0	0	0	0																							
49148					CONF							0	0	0	0	false		0	0												0	0	0	0																							
49241					CONF							0	0	0	0	false		0	0												0	0	0	0																							
49652					CONF							0	0	0	0	false		0	0												0	0	0	0																							
49858					CONF							0	0	0	0	false		0	0												0	0	0	0																							
49951					CONF							0	0	0	0	false		0	0												0	0	0	0															0								
50144					CONF							0	0	0	0	false		0	0												0	0	0	0																							
50461		330	16		CONF	7	9		16	23		0	0	0	0	false		46	0					25				28		12	0	0	0	0						128	9	Commissions -International Department	Other Income		Auto and Travel & Parking	Business Development and business meals							CPA true up the tax account for tax return filing				
51253	0	0	0	0	CONF	0	0	0	329	0	0	0	0	0	0	false	0	0	0	0	0	0	514	374	0	0	0	0	0	227	0	0	0	0					0	426	0				Loan Expenses												
51356	4		18		CONF							0	0	0	0	false	8	0	0			4	18	4	8		39	26	14		0	0	0	0					1	4																	
51459					CONF							0	0	0	0	false		0	0												0	0	0	0																							
51842					CONF							0	0	0	0	false		0	0				292	328							0	0	0	0																							
52719	0	0	0	0	CONF	0	0	0	11655	6348	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	29352	0	0	0	0	0	0					0	0	0				Management fees	Allocated depreciation											
52951					CONF							0	0	0	0	false		0	0												0	0	0	0																							
53051					CONF							0	0	0	0	false		0	0												0	0	0	0																							
54058	121				CONF	361			180			0	0	0	0	false		0	0					535							0	0	0	0								Star Income			Star Charges												
54656	335	0	79	27	CONF	0	0	0	619	318	0	0	0	0	0	false	116	0	0	14	157	35	69	967	123	573	91	17	0	116	0	0	0	0					0	1	29				Holding Company fees	Debit Card Expense											
54973	2132				CONF				2348			1071	0	0	0	false		0	0				965	6287		4196					0	0	0	0											Software Maintenance			Additional Paid in Capital									
55336					CONF							0	0	0	0	false		0	0												0	0	0	0																							
55635					CONF							0	0	0	0	false		0	0												0	0	0	0																							
55653					CONF							0	0	0	0	false		0	0												0	0	0	0																							
55970					CONF							0	0	0	0	false		0	0												0	0	0	0																							
56258					CONF							0	0	0	0	false		0	0												0	0	0	0																							
56351					CONF				1627			0	0	0	0	false		0	0		707			1343		4705				2230	0	0	0	0				0							software expense												
56548					CONF							7000	0	0	0	false		0	0												0	0	0	0														Capital injection from DMB Corp 3/2022									
56717					CONF							0	0	0	0	false		0	0												0	0	0	0																							
57040	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0					0	0	0																
57451					CONF							0	0	0	0	false		0	0												0	0	0	0																							
58225					CONF							0	0	0	0	false		0	0												0	0	0	0																							
58243	1457		361	117	CONF	883	716		4327			0	0	0	0	false	480	0	0	46	1190	103	152	4869	238	2529	445	4798	417	424	0	0	0	0					287	1	1045	Management fee revenue - JWI	Management fee revenue - JFG		Software expense												
58355					CONF							100	0	0	0	false		0	0												0	0	0	0														Capital injection									
58551					CONF							0	0	0	0	false		0	0												0	0	0	0																							
58636					CONF							-447	0	0	0	false		0	0												0	0	0	0														Old stock was on the books for $1.  We recognized the MV of $447,000, then transferred to our HC.									
58757					CONF							1500	0	0	0	false		0	0												0	0	0	0														Capital Contribution									
58971					CONF	2343			5819	6000		0	0	0	0	false		0	0		1069			5894		8777		3363			0	0	0	0								Rent Income			Software Expense	Unfunded Commitments Reserve Adjustment											
59316					CONF							0	0	0	0	false		0	0												0	0	0	0																							
59352					CONF							0	0	0	0	false		0	0												0	0	0	0				0																			
59370					CONF							0	0	0	0	false		0	0												0	0	0	0																							
59754					CONF							0	0	0	0	false		0	0												0	0	0	0																							
60143					CONF	26000	19000	19000	123000	79000	48000	0	0	0	0	true		0	0		25000					136000					0	0	0	0		0						Commercial loan commitment fees	Intercompany income	Syndication agent fees	Outside processing fee expense	Software expense	Intercompany fee expense					Line 2 above includes an additional item that exceeded 7 percent of Schedule RI 7.d. - Other defined benefit costs of $(64,000)
Line 1 above includes an additional item that exceeded 7 percent of Schedule RI 5.l. - Letter of credit fees of $18,000					
60330	0	0	0	0	CONF	0	0	0	465	0	0	1000	0	0	0	false	0	0	0	0	0	0	287	0	0	2390	0	404	335	362	0	0	0	0					0	0	0				Internet Banking			Capital Injection by the holding company into bank									
60545					CONF							0	0	0	0	false		0	0												0	0	0	0																							
60554					CONF							0	0	0	0	false		0	0												0	0	0	0																							
60648					CONF							0	0	0	0	false		0	0												0	0	0	0																							
61122	257	2	86	395	CONF				316			0	0	0	0	false	169	0	0	15	589	62	213	1350	104	1869	411	277	275	253	0	0	0	0					48	249	220				Contract Labor												
61355					CONF							0	0	0	0	false		0	0												0	0	0	0																							
61476					CONF							0	0	0	0	false		0	0												0	0	0	0																Abington's LLR reduced to $0 due to merger on 5/17							
61757		109			CONF	102						0	0	0	0	false		0	0		127			343		148					0	0	0	0								Wealth Management Fee Income															
61832					CONF							0	0	0	0	false		0	0												0	0	0	0																							
61953					CONF							0	0	0	0	false		0	0												0	0	0	0																			Adjustment to Depreciation of Bank Building &  Fixtures				
62044					CONF							5000	0	0	0	false		0	0												0	0	0	0														Capital Injection									
62110					CONF							0	0	0	0	false		0	0												0	0	0	0																							
62147					CONF							0	0	0	0	false		0	0												0	0	0	0																							
63050					CONF							0	0	0	0	true		0	0												0	0	0	0																							
63069	32859	0	0	0	CONF	22631	22165	15100	0	0	0	0	0	-318	0	true	0	0	0	0	0	0	0	70952	0	20664	0	65306	0	0	0	0	0	0					0	0	0	Lease residual and operating income	Customer swap fees	All other loan fees						ASC 310-30 Adjustment for credit purchased impaired loans		Income from Cost Method Investments   8,585					
63201					CONF							0	0	0	0	false		0	0												0	0	0	0																							
63573					CONF							0	0	0	0	false		0	0												0	0	0	0																							
63733					CONF				411			0	0	0	0	false		0	0		270			724		1811			775		0	0	0	0											Loan Department Direct Expense												
63742					CONF							0	0	0	0	false		0	0												0	0	0	0																							
64150					CONF							0	0	0	0	false		0	0												0	0	0	0																							
64552	300				CONF				345			0	0	0	0	false		-13	0				106	412			193				0	0	0	0								Other Gain (Loss)			Other Outside Services								Audit AOCI Adjusting Entry				
64730					CONF							0	0	0	0	false		0	0												0	0	0	0																			Recognition of incorrectly deferred gain on ORE				
65205					CONF							0	0	0	0	false		0	0												0	0	0	0																							
65513				600	CONF	592			161			0	0	0	0	false		0	0					608							0	0	0	0								Other Service fees			Business Promotion												
65559	373		251		CONF							0	0	0	0	false		0	0					418		500			279		0	0	0	0										BOLI													
65858					CONF							0	0	0	0	false		0	0												0	0	0	0																							
66154					CONF							28	0	0	0	false		0	0												0	0	0	0														Holding Company Increased Investment in the Bank									
66275					CONF							5900	0	0	0	false		4	0												0	0	0	0	0	0	0											Stock offering by parent holding company, capital infusion to bank					Correcting g/l entry for 2021 effected retained earnings for 2022				
66677	217				CONF				267	160	151	0	0	0	0	false		0	0					236							0	0	0	0											Loan Expenses	Professional sevices	Franchise Tax										
67142					CONF							0	0	0	0	false		0	0												0	0	0	0																							
67151					CONF							0	0	0	0	false		0	0												0	0	0	0																							
