"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
19356	9881	0	0	103110907	SECURITY BANK AND TRUST COMPANY	2 SOUTH MAIN STREET 	MIAMI	OK	74354	051	2022-07-27T17:23:38
19936	15477	0	12677	61201042	CITIZENS BANK OF AMERICUS	119 NORTH LEE STREET 	AMERICUS	GA	31709	051	2022-07-20T14:20:55
19972	34711	0	9008	243374108	FARMERS BUILDING AND SAVINGS BANK	290 WEST PARK 	ROCHESTER	PA	15074	051	2022-07-26T11:21:28
20053	10015	0	0	91806242	SECURITY BANK	112 EAST MAIN ST. 	NEW AUBURN	WI	54757	051	2022-07-29T16:04:22
20633	6803	0	0	51501723	MCNB BANK AND TRUST CO.	75 WYOMING ST 	WELCH	WV	24801	051	2022-08-15T13:32:02
20857	10998	0	0	91902793	FM BANK	702 PRENTICE ST. 	GRANITE FALLS	MN	56241	051	2022-07-25T17:48:22
21256	16583	0	0	101114565	STATE BANK OF BURRTON	200 NORTH BURRTON 	BURRTON	KS	67020	051	2022-09-15T09:29:12
21359	22263	0	0	91205128	AMERICAN STATE BANK OF GRYGLA	102 SOUTH MAIN AVENUE 	GRYGLA	MN	56727	051	2022-07-26T09:27:25
21658	12511	0	0	91803355	ALLIANCE BANK	245 S. EAU CLAIRE ST. 	MONDOVI	WI	54755	041	2022-07-28T15:31:02
22048	1753	0	0	82901567	UNION BANK & TRUST COMPANY	102 WEST MCCLOY 	MONTICELLO	AR	71655	051	2022-07-19T09:03:02
22543	8162	0	11909	72406506	STATE SAVINGS BANK	703 MAIN STREET 	FRANKFORT	MI	49635	051	2022-10-13T07:34:35
22552	10576	0	0	91204462	FIRST SOUTHEAST BANK	3 MAIN AVENUE NORTH 	HARMONY	MN	55939	051	2022-08-29T15:44:47
22730	2452	0	0	51502159	WEST UNION BANK	212 MAIN STREET 	WEST UNION	WV	26456	051	2022-07-29T11:12:56
23456	5162	6906	0	91204763	FIRST NATIONAL BANK OF HENNING, THE	106 MN HWY 78 NORTH 	OTTERTAIL	MN	56571	051	2022-07-28T11:22:38
23504	6976	0	9545	21406667	DIME COMMUNITY BANK	2200 MONTAUK HIGHWAY 	BRIDGEHAMPTON	NY	11932	041	2022-07-29T11:08:12
23643	90	0	0	82905343	COMMERCIAL BANK & TRUST COMPANY	212 WEST GAINES STREET 	MONTICELLO	AR	71655	051	2022-07-29T16:01:43
23755	5357	11412	0	91809980	FIRST NATIONAL COMMUNITY BANK	109 EAST SECOND STREET 	NEW RICHMOND	WI	54017	051	2022-07-27T09:08:34
24006	15995	0	17455	221970980	PCSB BANK	2651 STRANG BOULEVARD, SUITE 100 	YORKTOWN HEIGHTS	NY	10598	051	2022-07-29T14:44:44
24378	32307	0	8123	241271054	GALION BUILDING AND LOAN BANK, THE	135 S MARKET STREET 	GALION	OH	44833	051	2022-07-15T11:23:30
24659	10178	0	0	91915722	PRODUCE STATE BANK	109 PARK AVENUE WEST 	HOLLANDALE	MN	56045	051	2022-07-13T17:05:09
24668	3402	10646	0	111912498	BTH BANK NATIONAL ASSOCIATION	412 E GOODE ST 	QUITMAN	TX	75783	051	2022-08-01T10:19:41
24949	12788	0	0	75901590	BARABOO STATE BANK	101 THIRD AVENUE 	BARABOO	WI	53913	051	2022-07-28T10:41:06
25357	20093	0	0	103001456	ALL AMERICA BANK	200 S. ROCKWELL AVENUE 	OKLAHOMA CITY	OK	73128	051	2022-07-27T11:22:18
25647	22536	0	0	71924681	FIRST SECURE BANK AND TRUST CO.	10360 SOUTH ROBERTS ROAD 	PALOS HILLS	IL	60465	041	2022-07-26T14:17:13
26457	16423	0	0	101918279	LA MONTE COMMUNITY BANK	201 EAST FRONT STREET 	LA MONTE	MO	65337	041	2022-07-20T13:40:18
26765	3405	0	0	114915272	VANTAGE BANK TEXAS	45 NE LOOP 410, SUITE 500 	SAN ANTONIO	TX	78216	051	2022-07-29T09:57:41
27070	29294	703235	3235	291571270	PREVAIL BANK	675 EAST BROADWAY PO BOX 239	MEDFORD	WI	54451	051	2022-08-02T12:46:39
27548	14078	0	0	275971854	BLACKHAWK BANK	400 BROAD STREET 	BELOIT	WI	53511	051	2022-07-21T09:18:50
27614	10663	0	0	41208719	ANDOVER BANK, THE	19 PUBLIC SQUARE 	ANDOVER	OH	440030519	051	2022-08-31T11:03:51
27847	1527	0	0	82904056	DIAMOND BANK	319 EAST MAIN STREET 	MURFREESBORO	AR	71958	051	2022-07-22T16:27:11
28013	28710	718063	18063	226071457	NORTHFIELD BANK	1731 VICTORY BOULEVARD 	STATEN ISLAND	NY	10314	041	2022-08-11T16:33:53
28152	11415	0	0	91908179	HARVEST BANK	75 NORTH MAIN STREET 	KIMBALL	MN	55353	041	2022-07-15T10:56:23
28675	29293	703234	3234	291871226	CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK	1390 SECOND AVE. 	CUMBERLAND	WI	54829	041	2022-07-29T10:53:20
28732	1475	0	0	64102384	PEOPLES BANK & TRUST COMPANY	1203 HILLSBORO BOULEVARD 	MANCHESTER	TN	37355	051	2022-07-19T10:19:30
29476	31711	0	0	284170109	RIVERBANK	1700 OLD COUNTY ROAD 	POCAHONTAS	AR	72455	051	2022-07-26T12:22:44
29636	12204	0	10889	65302154	CITIZENS BANK OF PHILADELPHIA, THE	521 MAIN STREET 	PHILADELPHIA	MS	39350	051	2022-07-29T13:08:17
29878	30303	705138	5138	221472792	MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION	56-18 69TH ST 	MASPETH	NY	11378	041	2022-07-29T08:33:45
30052	26658	0	0	111316829	AMISTAD BANK	1301 VETERANS BLVD 	DEL RIO	TX	788403621	051	2022-07-18T17:11:41
30502	14240	0	0	11700425	NORTHWAY BANK	9 MAIN STREET 	BERLIN	NH	03570	051	2022-07-29T09:55:54
30650	8193	0	0	91008299	LAKE COMMUNITY BANK	1964 W. WAYZATA BLVD. 	LONG LAKE	MN	55356	051	2022-07-14T10:48:33
30810	5649	0	0	31100649	DISCOVER BANK	502 EAST MARKET STREET 	GREENWOOD	DE	19950	031	2022-07-28T18:01:24
31134	2160	7899	11878	61202245	FIRST NATIONAL BANK OF WAYNESBORO, THE	626 LIBERTY ST 	WAYNESBORO	GA	30830	041	2022-07-29T15:50:33
31255	17612	0	0	113001077	CENTRAL BANK	11201 CLAY ROAD 	HOUSTON	TX	770415578	041	2022-08-02T14:05:26
31657	11904	0	0	111909443	FIRST STATE BANK OF BEN WHEELER, TEXAS	14269 STATE HWY 64 	BEN WHEELER	TX	75754	051	2022-07-28T14:37:24
31826	6863	9924	14630	51403818	POWELL VALLEY NATIONAL BANK	33785 MAIN STREET 	JONESVILLE	VA	24263	041	2022-07-11T09:29:00
31835	8243	0	9803	65302675	BANK OF ANGUILLA	130 HOLLAND STREET 	ANGUILLA	MS	38721	051	2022-09-26T11:16:32
32234	3639	1926	0	71103952	FIRST NATIONAL BANK AND TRUST COMPANY	2 KELLI COURT 	CLINTON	IL	61727	051	2022-07-26T19:02:32
32766	21693	0	0	111906048	LAKESIDE BANK	2805 RIDGE ROAD 	ROCKWALL	TX	75032	051	2022-07-28T17:30:51
32971	28894	702578	2578	274970607	SECURITY FEDERAL SAVINGS BANK	314 FOURTH STREET 	LOGANSPORT	IN	46947	051	2022-07-27T15:16:46
33147	1027	0	0	84101051	FARMERS BANK AND TRUST COMPANY	400 WEST MAIN STREET 	BLYTHEVILLE	AR	72315	051	2022-07-30T18:41:32
33259	21714	0	0	96005093	PREMIER BANK	2866 WHITE BEAR AVE. 	MAPLEWOOD	MN	55109	051	2022-08-03T18:54:19
33268	1213	0	0	111307485	ROSCOE STATE BANK, THE	117 CYPRESS STREET 	ROSCOE	TX	79545	051	2022-07-25T10:33:08
33370	31723	707384	7384	242170374	HOME SAVINGS BANK, FSB	202 ELM STREET 	LUDLOW	KY	41016	051	2022-07-14T16:02:43
33839	10075	0	0	71112354	PEOPLES STATE BANK OF COLFAX	101 WEST MAIN STREET 	COLFAX	IL	61728	051	2022-07-14T09:18:52
33857	15545	0	0	104913381	FRONTIER BANK	13333 CALIFORNIA ST, SUITE 100 	OMAHA	NE	68154	041	2022-07-29T11:50:31
34434	22081	0	15636	65302468	MAGNOLIA STATE BANK	28 HIGHWAY 528 	BAY SPRINGS	MS	39422	051	2022-07-28T14:29:23
34537	131	14838	15273	67005158	SEACOAST NATIONAL BANK	815 COLORADO AVENUE 	STUART	FL	34994	041	2022-07-29T14:47:48
34555	14695	0	0	81507014	MA BANK	1513 NORTH MISSOURI STREET 	MACON	MO	63552	041	2022-07-20T12:16:29
34742	13083	0	0	82901952	FIRST WESTERN BANK	80 WEST MAIN STREET 	BOONEVILLE	AR	72927	051	2022-07-15T12:30:31
35057	1946	0	0	81506390	ALLIANT BANK	101 EAST BROADWAY 	MADISON	MO	65263	041	2022-07-30T10:34:27
35301	14	0	0	11000028	STATE STREET BANK AND TRUST COMPANY	ONE LINCOLN STREET 	BOSTON	MA	02111	031	2022-08-04T10:16:28
35646	11235	0	0	75904597	BONDUEL STATE BANK	130 NORTH CECIL STREET 	BONDUEL	WI	54107	051	2022-07-12T10:38:12
35879	30313	0	0	275971029	EAST WISCONSIN SAVINGS BANK	109 WEST SECOND STREET 	KAUKAUNA	WI	54130	051	2022-07-27T08:12:44
36456	15907	0	0	104113408	COMMUNITY FIRST BANK	122 S. COMMERCIAL ST 	MAYWOOD	NE	69038	051	2022-07-21T15:19:39
36933	19163	0	14828	61101113	FIRST STATE BANK	300 BROAD STREET 	WRENS	GA	30833	051	2022-07-20T14:48:56
37051	13030	0	0	91809524	OAKWOOD BANK	40214 SOUTH EKERN AVENUE 	PIGEON FALLS	WI	54760	051	2022-08-16T11:48:38
37341	21085	0	0	75907743	BANK OF ONTARIO	315 MAIN STREET 	ONTARIO	WI	54651	051	2022-07-18T10:53:28
37435	172	0	10091	61107515	UNITED BANK	685 GRIFFIN STREET 	ZEBULON	GA	30295	051	2022-07-28T11:17:24
37640	17393	0	0	83904563	GERMAN AMERICAN BANK	711 MAIN STREET 	JASPER	IN	47546	041	2022-07-29T14:25:40
37659	12758	0	0	103111977	FARMERS STATE BANK, ALLEN, OKLAHOMA	201 EAST BROADWAY 	ALLEN	OK	74825	041	2022-07-14T15:58:19
37949	11711	0	0	71119289	BANK OF RANTOUL	201 EAST CHAMPAIGN AVENUE 	RANTOUL	IL	61866	051	2022-07-21T10:07:19
38740	13112	0	0	74912865	OWEN COUNTY STATE BANK	201 WEST MORGAN STREET 	SPENCER	IN	47460	051	2022-07-25T14:16:21
39327	5874	0	0	52101012	CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND	24 NORTH MAIN STREET 	BERLIN	MD	21811	051	2022-07-29T10:42:18
39756	4032	0	0	103112523	NBC OKLAHOMA	13401 NORTH PENNSYLVANIA 	OKLAHOMA CITY	OK	73120	041	2022-07-26T17:08:56
40033	11817	0	17580	65303810	RICHTON BANK & TRUST COMPANY	114 S. FRONT STREET 	RICHTON	MS	39476	051	2022-07-28T10:25:01
40499	59070	0	0	211381372	HARBORONE BANK	770 OAK STREET 	BROCKTON	MA	02301	041	2022-08-04T11:33:55
40855	10980	0	0	91207317	ESB BANK	115 HIGHWAY 44 	CALEDONIA	MN	55921	051	2022-07-29T11:38:26
41553	12283	0	0	103101505	FIRST STATE BANK	102 WEST MAIN STREET 	ANADARKO	OK	73005	051	2022-07-08T18:28:26
41629	6913	0	15369	51404325	PIONEER BANK	252 E MAIN STREET 	STANLEY	VA	22851	051	2022-08-19T13:44:33
41825	14017	0	0	55001258	MIDDLETOWN VALLEY BANK	24 WEST MAIN STREET 	MIDDLETOWN	MD	21769	041	2022-07-26T14:11:50
42037	70	0	0	62102593	PEOPLES EXCHANGE BANK	2013 HIGHWAY 21 BYPASS 	MONROEVILLE	AL	36460	051	2022-07-22T14:51:48
42354	3110	8573	0	111303489	COMMERCIAL NATIONAL BANK OF BRADY, THE	105 E. 2ND STREET 	BRADY	TX	76825	051	2022-07-22T16:54:49
42372	30315	705153	5153	253170884	FIRST FEDERAL SAVINGS BANK OF LINCOLNTON	320 EAST MAIN STREET 	LINCOLNTON	NC	28092	051	2022-07-27T20:42:20
42420	7468	0	0	43306826	FIRST COMMONWEALTH BANK	600 PHILADELPHIA ST 	INDIANA	PA	15701	041	2022-07-29T18:25:53
42448	3887	10004	0	84100793	FIRST NATIONAL BANK	200 WEST COURT STREET 	PARAGOULD	AR	72450	041	2022-07-22T13:22:27
42457	12246	0	0	104102642	COMMERCIAL BANK	401 SOUTH MAIN STREET 	NELSON	NE	68961	051	2022-07-27T12:57:19
43052	9036	0	0	91510075	SECURITY STATE BANK	7865 U.S. HIGHWAY 2 	IRON RIVER	WI	54847	051	2022-07-29T17:07:58
43351	17685	0	0	101106528	PEOPLES STATE BANK	2401 N SETH CHILD ROAD 	MANHATTAN	KS	66502	051	2022-07-26T11:18:21
43856	5141	6991	0	91200848	MINERS NATIONAL BANK OF EVELETH, THE	401 GRANT AVENUE 	EVELETH	MN	55734	051	2022-07-27T10:18:59
43959	18155	0	0	113123528	BRIDGE CITY STATE BANK	701 W. ROUNDBUNCH 	BRIDGE CITY	TX	77611	051	2022-07-27T15:15:38
44040	4364	9784	0	74908426	FIRST NATIONAL BANK OF MONTEREY, THE	6222 EAST MAIN STREET 	MONTEREY	IN	46960	051	2022-07-27T10:40:26
44433	25258	18283	14891	67011812	INTERCREDIT BANK, NATIONAL ASSOCIATION	4725 SOUTHWEST 8TH STREET 	MIAMI	FL	33134	041	2022-07-29T13:26:17
44741	9647	0	0	74905225	CITIZENS BANK	33 NORTH INDIANA STREET 	MOORESVILLE	IN	46158	051	2022-07-29T15:58:55
44750	16126	0	0	81518139	CITIZENS BANK OF THE MIDWEST	1515 MARTIN SPRINGS DRIVE 	ROLLA	MO	65401	051	2022-07-28T15:14:32
44929	6637	46	0	44106384	FIRST NATIONAL BANK OF MCCONNELSVILLE, THE	86 NORTH KENNEBEC AVENUE 	MCCONNELSVILLE	OH	43756	041	2022-07-14T12:21:11
45038	5740	0	0	71112503	STATE BANK OF DAVIS	100 IL ROUTE 75 	DAVIS	IL	61019	041	2022-07-28T12:56:11
45047	14534	14209	0	82902074	FIRST NATIONAL BANK AT PARIS, THE	11 EAST MAIN STREET 	PARIS	AR	72855	051	2022-07-27T15:55:38
45056	9818	0	0	104908134	PLATTE VALLEY BANK	606 MAIN 	NORTH BEND	NE	68649	051	2022-07-29T15:46:41
45430	22070	0	0	64202873	JOHNSON COUNTY BANK	241 WEST MAIN STREET 	MOUNTAIN CITY	TN	37683	051	2022-07-28T08:56:18
45458	17927	0	0	101109130	VINTAGE BANK KANSAS	101 SOUTH MAIN 	LEON	KS	67074	051	2022-07-28T15:36:42
45551	5170	0	0	73920829	BANK MIDWEST	1525 18TH STREET 	SPIRIT LAKE	IA	51360	051	2022-07-15T10:25:07
45560	16470	0	0	114000763	JEFFERSON BANK	1777 NE LOOP 410, SUITE 201 	SAN ANTONIO	TX	78217	041	2022-07-27T17:03:30
45775	28908	0	2601	231371692	IRON WORKERS SAVINGS BANK	3333 CONCORD ROAD 	ASTON	PA	19014	051	2022-07-19T14:48:21
46053	1610	0	0	91900559	STATE BANK OF FARIBAULT, THE	428 CENTRAL AVE. 	FARIBAULT	MN	55021	051	2022-07-25T15:27:06
46941	2765	0	0	83901773	FARMERS BANK AND TRUST COMPANY	111 WEST WASHINGTON 	PRINCETON	KY	42445	051	2022-09-27T16:10:14
47247	5033	0	11837	72410903	DART BANK, THE	368 SOUTH PARK STREET 	MASON	MI	488540040	041	2022-07-27T17:36:51
47256	27053	0	0	91512594	COMMUNITY FINANCIAL BANK	450 CENTER STREET 	PRENTICE	WI	54556	051	2022-07-17T15:28:33
47452	25065	18162	0	111103333	FIRST NATIONAL BANK OF BENTON	104 SIBLEY DRIVE 	BENTON	LA	71006	051	2022-07-29T17:09:40
47500	18038	0	7619	211770190	CLAREMONT SAVINGS BANK	145 BROAD STREET 	CLAREMONT	NH	03743	051	2022-08-15T08:48:59
48057	4775	0	0	101102645	PRAIRIE BANK OF KANSAS	200 SOUTH MAIN 	STAFFORD	KS	67578	051	2022-07-27T11:12:52
48150	16778	0	0	91916200	FRANKLIN STATE BANK	278 2ND AVE. E. 	FRANKLIN	MN	55333	051	2022-07-26T12:09:46
48374	28905	0	0	282970110	FIRST FINANCIAL BANK	214 NORTH WASHINGTON 	EL DORADO	AR	71730	051	2022-07-26T18:05:49
48440	9517	0	0	75904856	CLEVELAND STATE BANK	1250 WEST WASHINGTON AVENUE 	CLEVELAND	WI	53015	051	2022-07-25T15:28:15
49054	10212	0	0	91912576	COMMERCE BANK	101 CENTRAL AVENUE SOUTH 	GENEVA	MN	56035	051	2022-07-28T17:57:06
49148	9265	0	0	71105866	RUSHVILLE STATE BANK	100 EAST LAFAYETTE STREET 	RUSHVILLE	IL	62681	051	2022-07-29T16:42:00
49241	19371	15482	0	82901088	RELYANCE BANK, NATIONAL ASSOCIATION	912 POPLAR STREET 	PINE BLUFF	AR	71601	051	2022-07-28T11:02:39
49652	16473	0	0	101102438	FIRST BANK	128 SOUTH BROADWAY 	STERLING	KS	67579	051	2022-07-28T15:22:46
